Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
RL28,P41105,4.81481178734204,,,,,,,,,0.6825793150708602,,,,
ILF2,Q9CXY6,0.628277145715779,,,,,,,,,-0.20184873794449087,,,,
LEG3,P16110,16.816950197054,,,,,,,,,1.2257472380323338,,,,
G6PI,P06745,4.72136910341699,,,,,,,,,0.6740679536850572,,,,
TCPD,P80315,3.23105097646635,,,,,,,,,0.5093438099592718,,,,
FUBP2,Q3U0V1,2.36172270735839,,,,,,,,,0.37322890524465724,,,,
TGM2,P21981,0.0444821219425133,,,,,,,,,-1.351814503666474,,,,
PSME2,P97372,1.55115459735516,,,,,,,,,0.19065508435926942,,,,
SMD3,P62320,3.16563752548697,,,,,,,,,0.5004611854179816,,,,
FABP5,Q05816,10.1827521785068,,,,,,,,,1.0078651743070464,,,,
RS5,P97461,3.44341522057229,,,,,,,,,0.5369893948018419,,,,
LASP1,Q61792,1.0749156333901,,4.35774361620194,,43.878965883479985,,,0.002695918040057421,,0.03137437923676475,,-2.56929331513815,,
BTF3,Q64152,3.31869784788367,,,,,,,,,0.5209677137010835,,,,
G3BP1,P97855,3.09008144594052,,,,,,,,,0.4899699263686501,,,,
MDHC,P14152,4.23864394604988,,,,,,,,,0.6272269365587109,,,,
AN32A,O35381,0.62277337175456,,,,,,,,,-0.20566996506231247,,,,
GARS,Q9CZD3,2.74768710910715,,,,,,,,,0.43896727623143056,,,,
SLIRP,Q9D8T7,0.646153591014198,,,,,,,,,-0.1896642377300648,,,,
HDGF,P51859,8.26225402474775,,,,,,,,,0.9170985433215486,,,,
,,,,,,,,,,,,,,,
ML12B,Q3THE2,3.9503564807732,,,,,,,,,0.5966362881953493,,,,
LRC59,Q922Q8,3.06944984859609,,,,,,,,,0.4870605418844506,,,,
